company_id,abn,company_name,normalized_name,website_url,industry,industry_category,entity_type,entity_status,address_line_1,address_line_2,suburb,state,postcode,email,phone,start_date,gst_registered,data_quality_score,matching_confidence,matching_method,created_at,updated_at,postcode_validation_status,postcode_corrected,postcode_confidence,primary_email,secondary_email,primary_phone,secondary_phone,business_age_years,dgr_endorsed,is_active,social_platforms_count,digital_maturity_score,digital_presence_level,has_website,has_linkedin,has_facebook,has_instagram,has_twitter,has_youtube,has_tiktok,has_github,has_pinterest,completeness_score,accuracy_score,consistency_score,quality_tier,llm_reasoning_summary,manual_review_required,processing_time_ms,llm_provider,enhancement_version,industry_company_count,state_company_count,avg_quality_in_industry,avg_digital_maturity_in_state,is_above_avg_quality,is_above_avg_digital
sample_00011,83869462492,Urban Solutions Pty Ltd,urban solutions,https://urbansolutions.com.au,Retail Trade,Software Development,Australian Private Company,Active,308 Elizabeth Street,Suite 18,Newcastle,NSW,1134,,(02) 3088 6927,1994-07-23,Yes,0.801,0.847,,2025-03-27T22:05:31.459467Z,2025-04-24T22:05:31.459467Z,valid,,1.0,,,(02) 3088 6927,,30,No,Yes,3,0.61,medium,Yes,No,Yes,No,No,No,No,Yes,No,0.84,0.786,0.753,medium,Strong semantic similarity with business context validation,,404,anthropic,2.0,278,624,0.7832374100719425,0.6298365384615384,True,False
sample_00012,27138307487,Urban Group Limited,urban group,https://urbangroup.com.au,Finance,Import/Export,Australian Private Company,Active,45 Collins Place,,Devonport,TAS,7476,hello@company8153.com.au,(03) 9602 7212,2005-04-10,Yes,0.839,0.867,,2025-04-24T22:05:31.459494Z,2025-05-02T22:05:31.459494Z,valid,,1.0,hello@company8153.com.au,,(03) 9602 7212,,19,No,Yes,4,0.562,medium,Yes,No,Yes,No,Yes,Yes,No,No,No,0.972,0.807,0.637,medium,Strong semantic similarity with business context validation,,448,anthropic,2.0,266,624,0.7822105263157895,0.6203910256410257,True,False
sample_00013,78615663522,Regional Group Holdings,regional group holdings,https://regionalgroupho.edu.au,Transportation,Consulting,Australian Private Company,Active,125 George Street,,Perth,WA,6824,admin@company9932.com.au,(07) 2513 5431,2020-09-10,Yes,0.795,0.897,,2025-04-24T22:05:31.459523Z,2025-05-16T22:05:31.459523Z,valid,,1.0,admin@company9932.com.au,sales@company9932.com.au,(07) 2513 5431,(03) 6483 3546,4,No,Yes,1,0.255,low,Yes,No,No,No,No,No,No,No,No,0.89,0.723,0.749,medium,Strong semantic similarity with business context validation,,421,anthropic,2.0,277,617,0.7826353790613718,0.6142350081037278,True,False
sample_00014,85296183209,Coastal Consulting Holdings,coastal consulting holdings,https://coastalconsulti.gov.au,Media,Consulting,Australian Private Company,Active,143 Queen Avenue,Suite 20,Launceston,TAS,7038,,(03) 7747 3884,2009-11-25,Yes,0.89,0.563,,2025-04-13T22:05:31.459550Z,2025-04-17T22:05:31.459550Z,valid,,1.0,,,(03) 7747 3884,,15,No,Yes,7,0.814,high,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.947,0.832,0.89,high,"ABR record only, limited validation available",,59,anthropic,2.0,244,624,0.7869426229508197,0.6203910256410257,True,True
sample_00015,58614447539,Systems Pty Ltd,systems,https://systems.org.au,Professional Services,Manufacturing,Australian Private Company,Active,47 Sussex Lane,Suite 12,Katherine,NT,0889,sales@company1086.com.au,(03) 3286 5513,1995-01-01,Yes,0.855,0.601,,2024-12-18T22:05:31.459580Z,2024-12-20T22:05:31.459580Z,valid,,1.0,sales@company1086.com.au,,(03) 3286 5513,,29,No,Yes,7,0.841,high,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,0.81,0.899,0.859,high,Fuzzy name matching with domain verification,,207,anthropic,2.0,280,602,0.7797107142857143,0.633234219269103,True,True
sample_00016,02087705198,Tech Australia,tech australia,https://techaustralia.edu.au,Construction,Web Design,Australian Private Company,Active,482 Bourke Drive,Suite 24,Geelong,VIC,3487,hello@company6695.com.au,(08) 3037 7514,2021-04-26,No,0.863,0.852,,2025-03-18T22:05:31.459609Z,2025-04-02T22:05:31.459609Z,valid,,1.0,hello@company6695.com.au,,(08) 3037 7514,,3,No,Yes,3,0.64,medium,Yes,No,Yes,Yes,No,No,No,No,No,0.887,0.949,0.644,high,Strong semantic similarity with business context validation,,216,anthropic,2.0,277,627,0.7871046931407942,0.6294274322169059,True,True
sample_00017,63568006597,Tech Australia,tech australia,https://techaustralia.edu.au,Education,Marketing,Australian Private Company,Active,511 Kent Close,,Geraldton,WA,6048,info@company6837.com.au,(04) 6893 2071,2008-04-02,Yes,0.721,0.932,,2025-01-14T22:05:31.459634Z,2025-01-30T22:05:31.459634Z,valid,,1.0,info@company6837.com.au,,(04) 6893 2071,,16,Yes,Yes,3,0.582,medium,Yes,No,Yes,No,No,No,No,No,Yes,0.619,0.825,0.718,medium,High confidence match with enhanced social validation,,552,anthropic,2.0,315,617,0.7842571428571429,0.6142350081037278,False,False
sample_00018,42503077312,Global Trading Australia,global trading australia,https://globaltradingau.org.au,Energy,Marketing,Australian Private Company,Active,80 Bourke Road,,Adelaide,SA,5914,contact@company2490.com.au,(08) 6158 7287,2014-06-24,No,0.732,0.745,,2024-11-25T22:05:31.459660Z,2024-12-21T22:05:31.459660Z,valid,,1.0,contact@company2490.com.au,support@company2490.com.au,(08) 6158 7287,,10,No,Yes,6,0.829,high,Yes,No,Yes,No,Yes,No,No,Yes,No,0.797,0.745,0.575,medium,Fuzzy name matching with domain verification,,173,anthropic,2.0,283,627,0.7826537102473498,0.6214848484848484,False,True
sample_00019,34386336059,Global Construction Pty Limited,global construction pty,https://globalconstruct.org.au,Agriculture,Insurance,Australian Private Company,Active,532 Pitt Road,,Launceston,TAS,7012,admin@company1238.com.au,(03) 6036 5262,2012-12-15,Yes,0.819,0.893,,2025-03-29T22:05:31.459686Z,2025-03-31T22:05:31.459686Z,valid,,1.0,admin@company1238.com.au,,(03) 6036 5262,,12,No,Yes,4,0.544,medium,Yes,No,No,No,No,Yes,No,Yes,No,0.725,0.908,0.829,medium,Strong semantic similarity with business context validation,,231,anthropic,2.0,294,624,0.7819285714285714,0.6203910256410257,True,False
sample_00020,68907124739,Australian Tech Holdings,australian tech holdings,https://australiantechh.gov.au,Healthcare,Engineering,Australian Private Company,Active,830 York Lane,Suite 18,Townsville,QLD,4022,info@company1824.com.au,(04) 1441 1066,2007-11-21,Yes,0.731,0.919,,2024-12-01T22:05:31.459712Z,2024-12-04T22:05:31.459712Z,valid,,1.0,info@company1824.com.au,,(04) 1441 1066,,17,Yes,Yes,3,0.587,medium,Yes,No,Yes,No,Yes,No,No,No,No,0.778,0.76,0.578,medium,High confidence match with enhanced social validation,,436,anthropic,2.0,258,647,0.7865697674418605,0.6229551777434312,False,False
sample_00021,65662529028,Regional Industries Australia,regional industries australia,,Construction,Architecture,Australian Private Company,Active,885 Kent Drive,Suite 46,Launceston,TAS,7147,contact@company353.com.au,(07) 7002 4899,2009-09-13,Yes,0.841,0.874,,2025-03-19T22:05:31.459739Z,2025-04-01T22:05:31.459739Z,valid,,1.0,contact@company353.com.au,,(07) 7002 4899,,15,No,Yes,4,0.572,medium,No,Yes,Yes,No,No,Yes,No,No,No,0.941,0.874,0.574,medium,Strong semantic similarity with business context validation,,308,anthropic,2.0,277,624,0.7871046931407942,0.6203910256410257,True,False
sample_00022,51484334516,Trading Corporation,trading corporation,https://tradingcorporat.gov.au,Manufacturing,Real Estate Agency,Australian Private Company,Active,829 York Road,Suite 29,Burnie,TAS,7275,info@company6967.com.au,,2001-01-09,No,0.81,0.605,,2025-09-23T22:05:31.459761Z,2025-10-18T22:05:31.459761Z,valid,,1.0,info@company6967.com.au,,,,23,No,Yes,2,0.364,low,Yes,No,No,Yes,No,No,No,Yes,No,0.681,0.913,0.862,medium,Fuzzy name matching with domain verification,,270,anthropic,2.0,287,624,0.7887282229965157,0.6203910256410257,True,False
sample_00023,92539811293,Tech Australia,tech australia,https://techaustralia.com.au,Media,Logistics,Australian Private Company,Active,312 King Avenue,,Kalgoorlie,WA,6085,sales@company3508.com.au,(04) 8995 6048,1998-06-23,Yes,0.742,0.603,,2025-03-21T22:05:31.459787Z,2025-04-02T22:05:31.459787Z,valid,,1.0,sales@company3508.com.au,,(04) 8995 6048,,26,No,Yes,1,0.203,low,Yes,No,Yes,No,No,No,No,No,No,0.758,0.711,0.77,medium,Fuzzy name matching with domain verification,,223,anthropic,2.0,244,617,0.7869426229508197,0.6142350081037278,False,False
sample_00024,85052769340,Metro Services Pty Ltd,metro services,,Transportation,Marketing,Australian Private Company,Inactive,11 King Close,Suite 30,Canberra,ACT,0255,hello@company3052.com.au,(04) 8612 5850,2015-12-10,Yes,0.799,0.58,,2025-02-22T22:05:31.459812Z,2025-03-13T22:05:31.459812Z,valid,,1.0,hello@company3052.com.au,,(04) 8612 5850,,9,No,No,4,0.749,medium,No,Yes,No,Yes,No,Yes,No,No,No,0.668,0.903,0.853,medium,"ABR record only, limited validation available",,100,anthropic,2.0,277,632,0.7826353790613718,0.630131329113924,True,True
sample_00025,26229772369,Tech Limited,tech,https://tech.edu.au,Mining,Consulting,Australian Private Company,Active,735 Bourke Lane,Suite 50,Gungahlin,ACT,0266,admin@company7232.com.au,(08) 4765 2296,1990-04-14,Yes,0.716,0.913,,2025-08-27T22:05:31.459837Z,2025-09-21T22:05:31.459837Z,valid,,1.0,admin@company7232.com.au,sales@company7232.com.au,(08) 4765 2296,,34,No,Yes,6,0.819,high,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,0.626,0.887,0.553,medium,High confidence match with enhanced social validation,,536,anthropic,2.0,280,632,0.7754607142857143,0.630131329113924,False,True
sample_00026,23954230466,Elite Industries Limited,elite industries,,Mining,Accounting,Australian Private Company,Active,945 York Avenue,,Bunbury,WA,6717,hello@company4575.com.au,,2015-11-15,Yes,0.924,0.855,,2024-12-15T22:05:31.459863Z,2025-01-08T22:05:31.459863Z,valid,,1.0,hello@company4575.com.au,,,,9,No,Yes,5,0.674,medium,No,Yes,Yes,Yes,No,No,No,Yes,No,0.976,0.899,0.871,high,Strong semantic similarity with business context validation,,374,anthropic,2.0,280,617,0.7754607142857143,0.6142350081037278,True,True
sample_00027,91772461122,Advanced Consulting Pty Ltd,advanced consulting,,Manufacturing,Accounting,Australian Private Company,Active,69 Kent Circuit,,Townsville,QLD,4873,info@company8178.com.au,(02) 7567 5279,2007-04-03,Yes,0.896,0.624,,2024-12-10T22:05:31.459888Z,2024-12-11T22:05:31.459888Z,valid,,1.0,info@company8178.com.au,,(02) 7567 5279,(04) 2013 6288,17,No,Yes,4,0.588,medium,No,No,No,No,No,Yes,No,No,Yes,0.953,0.875,0.824,high,Fuzzy name matching with domain verification,,257,anthropic,2.0,287,647,0.7887282229965157,0.6229551777434312,True,False
sample_00028,32079828577,Professional Group Holdings,professional group holdings,https://professionalgro.com.au,Agriculture,Software Development,Australian Private Company,Inactive,150 Kent Street,,Mount Gambier,SA,5695,,(07) 5633 9436,2005-07-06,No,0.807,0.698,,2025-08-23T22:05:31.459913Z,2025-09-15T22:05:31.459913Z,valid,,1.0,,,(07) 5633 9436,,19,No,No,2,0.209,low,Yes,No,No,No,No,Yes,No,Yes,No,0.75,0.914,0.705,medium,Fuzzy name matching with domain verification,,191,anthropic,2.0,294,627,0.7819285714285714,0.6214848484848484,True,False
sample_00029,30216778755,Urban Consulting Limited,urban consulting,https://urbanconsulting.edu.au,Transportation,Software Development,Australian Private Company,Active,699 George Street,,Weston Creek,ACT,0264,,(02) 3515 3487,2004-04-05,Yes,0.773,0.86,,2025-06-08T22:05:31.459938Z,2025-06-30T22:05:31.459938Z,valid,,1.0,,,(02) 3515 3487,,20,No,Yes,4,0.6,medium,Yes,Yes,Yes,No,No,No,No,No,Yes,0.864,0.693,0.751,medium,Strong semantic similarity with business context validation,,203,anthropic,2.0,277,632,0.7826353790613718,0.630131329113924,False,False
sample_00030,94484798690,Construction Group,construction group,https://constructiongro.gov.au,Telecommunications,Import/Export,Australian Private Company,Inactive,490 Bourke Close,,Gold Coast,QLD,4950,contact@company5605.com.au,(04) 2026 7188,2010-09-23,Yes,0.791,0.859,,2025-05-23T22:05:31.460130Z,2025-06-21T22:05:31.460130Z,valid,,1.0,contact@company5605.com.au,,(04) 2026 7188,,14,No,No,4,0.645,medium,Yes,Yes,No,Yes,No,No,Yes,No,No,0.704,0.865,0.819,medium,Strong semantic similarity with business context validation,,450,anthropic,2.0,311,647,0.7834276527331189,0.6229551777434312,True,True
sample_00031,59140383920,Services Australia,services australia,https://servicesaustral.org.au,Professional Services,Web Design,Australian Private Company,Active,533 King Circuit,,Adelaide,SA,5317,,(07) 7225 6811,1995-10-12,Yes,0.816,0.775,,2025-04-21T22:05:31.460158Z,2025-04-23T22:05:31.460158Z,valid,,1.0,,,(07) 7225 6811,(08) 4250 8650,29,No,Yes,4,0.748,medium,Yes,No,No,No,Yes,No,No,No,Yes,0.943,0.774,0.648,medium,Strong semantic similarity with business context validation,,489,anthropic,2.0,280,627,0.7797107142857143,0.6214848484848484,True,True
sample_00032,72628382798,Coastal Consulting Pty Ltd,coastal consulting,https://coastalconsulti.net.au,Media,Consulting,Australian Private Company,Active,316 Collins Road,,Burnie,TAS,7168,,(07) 3472 2341,2001-09-04,Yes,0.894,0.779,,2025-01-26T22:05:31.460184Z,2025-02-20T22:05:31.460184Z,valid,,1.0,,,(07) 3472 2341,(08) 6768 3471,23,No,Yes,3,0.634,medium,Yes,Yes,Yes,No,No,No,No,No,No,0.918,0.939,0.758,high,Strong semantic similarity with business context validation,,386,anthropic,2.0,244,624,0.7869426229508197,0.6203910256410257,True,True
sample_00033,43558185927,Partners Group,partners group,https://partnersgroup.edu.au,Hospitality,Software Development,Australian Private Company,Active,605 King Road,,Adelaide,SA,5180,,(08) 7542 8141,2014-06-06,Yes,0.798,0.649,,2025-01-20T22:05:31.460209Z,2025-02-05T22:05:31.460209Z,valid,,1.0,,,(08) 7542 8141,,10,No,Yes,5,0.594,medium,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0.737,0.861,0.794,medium,Fuzzy name matching with domain verification,,145,anthropic,2.0,296,627,0.7866047297297297,0.6214848484848484,True,False
sample_00034,25115435332,Urban Trading Australia,urban trading australia,https://urbantradingaus.gov.au,Telecommunications,Manufacturing,Australian Private Company,Active,899 Pitt Close,,Murray Bridge,SA,5164,admin@company4725.com.au,(04) 4751 1361,1990-04-19,No,0.799,0.645,,2024-10-28T22:05:31.460235Z,2024-11-09T22:05:31.460235Z,valid,,1.0,admin@company4725.com.au,,(04) 4751 1361,,34,Yes,Yes,3,0.688,medium,Yes,Yes,No,No,No,No,No,Yes,No,0.696,0.908,0.784,medium,Fuzzy name matching with domain verification,,180,anthropic,2.0,311,627,0.7834276527331189,0.6214848484848484,True,True
sample_00035,92408067712,Professional Services Holdings,professional services holdings,https://professionalser.com.au,Telecommunications,Insurance,Australian Private Company,Active,136 Pitt Place,,Gungahlin,ACT,0202,admin@company1442.com.au,(02) 5870 6405,2023-09-03,Yes,0.771,0.698,,2025-08-02T22:05:31.460261Z,2025-08-28T22:05:31.460261Z,valid,,1.0,admin@company1442.com.au,,(02) 5870 6405,,1,No,Yes,6,0.895,high,Yes,No,Yes,No,Yes,No,No,No,Yes,0.736,0.807,0.767,medium,Fuzzy name matching with domain verification,,134,anthropic,2.0,311,632,0.7834276527331189,0.630131329113924,False,True
sample_00036,72293818283,Global Tech Limited,global tech,https://globaltech.com.au,Education,Import/Export,Australian Private Company,Active,260 Bourke Avenue,Suite 23,Weston Creek,ACT,0237,contact@company6434.com.au,(04) 6330 3033,1991-08-05,Yes,0.932,0.77,,2025-03-14T22:05:31.460287Z,2025-03-15T22:05:31.460287Z,valid,,1.0,contact@company6434.com.au,,(04) 6330 3033,,33,No,Yes,3,0.604,medium,Yes,Yes,Yes,No,No,No,No,No,No,0.965,0.95,0.831,high,Strong semantic similarity with business context validation,,255,anthropic,2.0,315,632,0.7842571428571429,0.630131329113924,True,False
sample_00037,76778037562,Systems Group,systems group,https://systemsgroup.com.au,Telecommunications,Logistics,Australian Private Company,Active,687 Pitt Drive,,Murray Bridge,SA,5321,contact@company4362.com.au,(08) 3182 2669,1998-07-10,Yes,0.633,0.606,,2024-12-05T22:05:31.460315Z,2024-12-24T22:05:31.460315Z,valid,,1.0,contact@company4362.com.au,,(08) 3182 2669,,26,No,Yes,3,0.637,medium,Yes,No,Yes,Yes,No,No,No,No,No,0.609,0.656,0.635,low,Fuzzy name matching with domain verification,,138,anthropic,2.0,311,627,0.7834276527331189,0.6214848484848484,False,True
sample_00038,48551543727,Elite Trading Pty Limited,elite trading pty,,Transportation,Restaurant,Australian Private Company,Active,116 Bourke Circuit,,Geraldton,WA,6716,admin@company7732.com.au,(04) 4373 8783,1997-12-26,Yes,0.858,0.938,,2025-06-23T22:05:31.460341Z,2025-07-11T22:05:31.460341Z,valid,,1.0,admin@company7732.com.au,support@company7732.com.au,(04) 4373 8783,,27,No,Yes,2,0.207,low,No,No,Yes,No,No,No,No,No,No,0.945,0.794,0.81,high,High confidence match with enhanced social validation,,405,anthropic,2.0,277,617,0.7826353790613718,0.6142350081037278,True,False
sample_00039,18082104346,Construction Pty Limited,construction pty,https://construction.gov.au,Food & Beverage,Retail,Australian Private Company,Active,436 Sussex Drive,Suite 50,Parramatta,NSW,1532,contact@company3579.com.au,(07) 8244 9543,1995-02-17,Yes,0.795,0.778,,2025-09-28T22:05:31.460365Z,2025-10-26T22:05:31.460365Z,valid,,1.0,contact@company3579.com.au,,(07) 8244 9543,,29,No,Yes,3,0.702,medium,Yes,No,No,Yes,No,Yes,No,No,Yes,0.709,0.843,0.872,medium,Strong semantic similarity with business context validation,,472,anthropic,2.0,262,624,0.7778282442748091,0.6298365384615384,True,True
sample_00040,95921450916,Consulting Pty Ltd,consulting,https://consulting.edu.au,Real Estate,Consulting,Australian Private Company,Active,116 Pitt Drive,,Wollongong,NSW,1173,hello@company3346.com.au,(08) 8970 6959,2012-03-11,No,0.704,0.879,,2025-06-15T22:05:31.460402Z,2025-06-26T22:05:31.460402Z,valid,,1.0,hello@company3346.com.au,support@company3346.com.au,(08) 8970 6959,,12,No,Yes,4,0.729,medium,Yes,No,Yes,Yes,No,Yes,No,No,No,0.704,0.734,0.642,medium,Strong semantic similarity with business context validation,,272,anthropic,2.0,255,624,0.7858274509803922,0.6298365384615384,False,True
sample_00041,08647941843,Regional Industries Pty Ltd,regional industries,https://regionalindustr.org.au,Professional Services,Engineering,Australian Private Company,Active,553 Sussex Place,,Nhulunbuy,NT,0922,,(04) 3468 3724,2009-07-20,Yes,0.7,0.95,,2025-01-24T22:05:31.460427Z,2025-02-11T22:05:31.460427Z,valid,,1.0,,,(04) 3468 3724,,15,No,Yes,4,0.651,medium,Yes,Yes,No,Yes,No,No,No,No,No,0.687,0.783,0.559,low,High confidence match with enhanced social validation,,419,anthropic,2.0,280,602,0.7797107142857143,0.633234219269103,False,True
sample_00042,56352907912,Systems Corporation,systems corporation,https://systemscorporat.org.au,Technology,Real Estate Agency,Australian Private Company,Active,905 Bourke Place,,Whyalla,SA,5973,contact@company888.com.au,(02) 7002 1381,1996-11-04,No,0.785,0.707,,2025-02-24T22:05:31.460454Z,2025-03-07T22:05:31.460454Z,valid,,1.0,contact@company888.com.au,sales@company888.com.au,(02) 7002 1381,,28,No,Yes,5,0.546,medium,Yes,Yes,No,No,Yes,No,No,Yes,No,0.774,0.83,0.715,medium,Fuzzy name matching with domain verification,,152,anthropic,2.0,268,627,0.7820820895522389,0.6214848484848484,True,False
sample_00043,58039285164,Group Pty Ltd,group,https://group.edu.au,Manufacturing,Software Development,Australian Private Company,Active,932 Sussex Avenue,,Burnie,TAS,7294,hello@company4930.com.au,,1991-04-17,Yes,0.773,0.857,,2025-04-20T22:05:31.460478Z,2025-05-20T22:05:31.460478Z,valid,,1.0,hello@company4930.com.au,,,,33,No,Yes,5,0.541,medium,Yes,Yes,No,No,No,Yes,No,No,No,0.833,0.702,0.796,medium,Strong semantic similarity with business context validation,,454,anthropic,2.0,287,624,0.7887282229965157,0.6203910256410257,False,False
sample_00044,58471896405,Tech Group,tech group,https://techgroup.org.au,Transportation,Consulting,Australian Private Company,Active,272 Bourke Street,,Burnie,TAS,7296,sales@company2551.com.au,(07) 2214 2276,2000-05-12,Yes,0.918,0.683,,2025-06-16T22:05:31.460503Z,2025-06-19T22:05:31.460503Z,valid,,1.0,sales@company2551.com.au,,(07) 2214 2276,,24,No,Yes,4,0.511,medium,Yes,Yes,Yes,Yes,No,No,No,Yes,No,0.953,0.923,0.836,high,Fuzzy name matching with domain verification,,277,anthropic,2.0,277,624,0.7826353790613718,0.6203910256410257,True,False
